,TRADE_DATE,VOLUME_FINANCE_SELL,VOLUME_INSURANCE_SELL,VOLUME_INVESTORTRUST_SELL,VOLUME_PRIVATE_SELL,VOLUME_BANK_SELL,VOLUME_OTHERFINANCE_SELL,VOLUME_OTHERFUND_SELL,VOLUME_OTHERCORPORATION_SELL,VOLUME_INDIVIDUAL_SELL,VOLUME_FOREIGNER_SELL,VOLUME_OTHERFORIGNER_SELL,STK_CODE,VOLUME_FINANCE_BUY,VOLUME_INSURANCE_BUY,VOLUME_INVESTORTRUST_BUY,VOLUME_PRIVATE_BUY,VOLUME_BANK_BUY,VOLUME_OTHERFINANCE_BUY,VOLUME_OTHERFUND_BUY,VOLUME_OTHERCORPORATION_BUY,VOLUME_INDIVIDUAL_BUY,VOLUME_FOREIGNER_BUY,VOLUME_OTHERFORIGNER_BUY,VOLUME_FINANCE_NET,VOLUME_INSURANCE_NET,VOLUME_INVESTORTRUST_NET,VOLUME_PRIVATE_NET,VOLUME_BANK_NET,VOLUME_OTHERFINANCE_NET,VOLUME_OTHERFUND_NET,VOLUME_OTHERCORPORATION_NET,VOLUME_INDIVIDUAL_NET,VOLUME_FOREIGNER_NET,VOLUME_OTHERFORIGNER_NET,TRADEVALUE_FINANCE_SELL,TRADEVALUE_INSURANCE_SELL,TRADEVALUE_INVESTORTRUST_SELL,TRADEVALUE_PRIVATE_SELL,TRADEVALUE_BANK_SELL,TRADEVALUE_OTHERFINANCE_SELL,TRADEVALUE_OTHERFUND_SELL,TRADEVALUE_OTHERCORPORATION_SELL,TRADEVALUE_INDIVIDUAL_SELL,TRADEVALUE_FOREIGNER_SELL,TRADEVALUE_OTHERFORIGNER_SELL,TRADEVALUE_FINANCE_BUY,TRADEVALUE_INSURANCE_BUY,TRADEVALUE_INVESTORTRUST_BUY,TRADEVALUE_PRIVATE_BUY,TRADEVALUE_BANK_BUY,TRADEVALUE_OTHERFINANCE_BUY,TRADEVALUE_OTHERFUND_BUY,TRADEVALUE_OTHERCORPORATION_BUY,TRADEVALUE_INDIVIDUAL_BUY,TRADEVALUE_FOREIGNER_BUY,TRADEVALUE_OTHERFORIGNER_BUY,TRADEVALUE_FINANCE_NET,TRADEVALUE_INSURANCE_NET,TRADEVALUE_INVESTORTRUST_NET,TRADEVALUE_PRIVATE_NET,TRADEVALUE_BANK_NET,TRADEVALUE_OTHERFINANCE_NET,TRADEVALUE_OTHERFUND_NET,TRADEVALUE_OTHERCORPORATION_NET,TRADEVALUE_INDIVIDUAL_NET,TRADEVALUE_FOREIGNER_NET,TRADEVALUE_OTHERFORIGNER_NET
20,2022-11-04,1081456,30876,45528,116644,1995,10,5958422,24607,1873498,3299703,13102,005930,1249540,46219,107259,85225,7451,9909,5948107,43194,1854575,3088585,5777,168084,15343,61731,-31419,5456,9899,-10315,18587,-18923,-211118,-7325,63733239600,1824452800,2687461500,6890942600,117828100,591400,351311696600,1451720700,110692723500,195039986600,775141200,73935032100,2731346000,6346127100,5046238300,442486400,585936700,350710461800,2555164200,109333057600,182499757700,340176700,10201792500,906893200,3658665600,-1844704300,324658300,585345300,-601234800,1103443500,-1359665900,-12540228900,-434964500
21,2022-11-03,4188005,20549,50711,224042,4000,18233,6557838,23064,2504758,3894261,6701,005930,1276681,88910,155492,65240,3444,12,7034117,37452,3493046,5318624,19144,-2911324,68361,104781,-158802,-556,-18221,476279,14388,988288,1424363,12443,245982768600,1213600100,2998441900,13168749100,236800000,1069960300,385515621800,1356362000,147715932400,229547326666,394096500,75544014100,5277961600,9203694900,3853266900,203631500,703300,413294965300,2199030900,204808815700,313692591466,1120983700,-170438754500,4064361500,6205253000,-9315482200,-33168500,-1069257000,27779343500,842668900,57092883300,84145264800,726887200
22,2022-11-02,2295691,41441,28756,155172,0,256,5589881,14985,1970067,3093354,13316,005930,463290,85451,111122,44728,5008,9,5683957,281975,1936285,4586103,4991,-1832401,44010,82366,-110444,5008,-247,94076,266990,-33782,1492749,-8325,136791068400,2466546100,1711667300,9241241100,0,15257000,333303578800,893865900,117434844400,184406673900,792862100,27634155000,5094929400,6628332800,2670646600,298476000,536300,338731866100,16873643800,115373540200,273454143400,297335400,-109156913400,2628383300,4916665500,-6570594500,298476000,-14720700,5428287300,15979777900,-2061304200,89047469500,-495526700
23,2022-11-01,940146,84042,47663,178473,3000,4031,7102892,164058,3945833,4716559,14950,005930,1205385,269314,296895,182388,7605,146,7372804,274527,2175383,5404999,12201,265239,185272,249232,3915,4605,-3885,269912,110469,-1770450,688440,-2749,56327584500,5022742700,2850454400,10672750500,180000000,241678500,425344615500,9833002200,236599443900,282411495206,897160000,72192309800,16147260000,17801347500,10930361500,456299700,8731400,441449405300,16449001100,130369428700,323844060906,732721500,15864725300,11124517300,14950893100,257611000,276299700,-232947100,16104789800,6615998900,-106230015200,41432565700,-164438500
24,2022-10-31,1401159,65495,195040,86865,28500,4542,7507483,177184,6386463,3122138,24645,005930,1360703,247389,380719,296448,970,12,7257762,94573,2065064,7285947,9927,-40456,181894,185679,209583,-27530,-4530,-249721,-82611,-4321399,4163809,-14718,83006259600,3898746100,11587102000,5166004700,1693700000,270480400,444993369900,10531460700,378804286800,185048050100,1468381700,80972780900,14739383100,22555829200,17675786200,57131100,710700,429924601900,5568871400,122303809600,432079410700,589527200,-2033478700,10840637000,10968727200,12509781500,-1636568900,-269769700,-15068768000,-4962589300,-256500477200,247031360600,-878854500
25,2022-10-28,815363,116531,618889,497802,12693,2426,7847619,123568,3518188,7363187,8671,005930,2810212,173285,128869,136441,24026,348,7496791,93231,5227834,4814701,19199,1994849,56754,-490020,-361361,11333,-2078,-350828,-30337,1709646,-2548486,10528,47223464900,6770956400,35826084000,28867289600,737023500,140080100,455801230000,7136794900,204073155600,426215578795,501498400,162707630100,9979357300,7451247000,7855255100,1377571400,20106900,435366243400,5392255900,302923192300,279102794595,1117502200,115484165200,3208400900,-28374837000,-21012034500,640547900,-119973200,-20434986600,-1744539000,98850036700,-147112784200,616003800
26,2022-10-27,1454382,183602,129352,396276,595,3659,6475149,50542,5286104,7756518,20533,005930,3276980,108795,400092,93713,23244,904,6664860,155301,3610466,7407404,14953,1822598,-74807,270740,-302563,22649,-2755,189711,104759,-1675638,-349114,-5580,86578078500,10937952500,7706253200,23632980200,35496300,217641300,385869933100,3019534900,315164736700,461643522730,1224848500,195201660600,6496743700,23900096000,5596341900,1384766800,54062600,396838182100,9258529600,215231222800,441178366330,891005500,108623582100,-4441208800,16193842800,-18036638300,1349270500,-163578700,10968249000,6238994700,-99933513900,-20465156400,-333843000
27,2022-10-26,1486650,136202,28623,196471,46429,28263,4101760,100182,9234711,5438191,27485,005930,1125089,256435,743295,428830,17944,7103,4250642,90350,3173461,10712397,19421,-361561,120233,714672,232359,-28485,-21160,148882,-9832,-6061250,5274206,-8064,87064497500,8076955100,1694420200,11594360300,2756755300,1674215500,241072813900,5905695600,545358443900,320259361860,1618972400,66588770800,15163310700,44044633500,25372514400,1050176600,421685600,249679602900,5307983700,187080716300,631217524560,1149572500,-20475726700,7086355600,42350213300,13778154100,-1706578700,-1252529900,8606789000,-597711900,-358277727600,310958162700,-469399900
28,2022-10-25,1291588,142941,39186,25410,303,25984,6060131,50962,4445458,5306065,17650,005930,1974968,129034,604039,357547,6361,4398,5826265,55306,2332225,6108008,7527,683380,-13907,564853,332137,6058,-21586,-233866,4344,-2113233,801943,-10123,74871114700,8312183200,2265451200,1475845200,17618800,1510985500,351716100700,2964431000,258594149800,306757600702,1026638500,114522307300,7498763500,35168061600,20732672700,370409400,256082900,338187198200,3213043800,135305193900,353820468802,437917200,39651192600,-813419700,32902610400,19256827500,352790600,-1254902600,-13528902500,248612800,-123288955900,47062868100,-588721300
29,2022-10-24,1442238,28916,85003,20196,19729,16001,5086230,95079,6634873,3474355,41883,005930,2499438,62967,497739,192188,837,11722,5013724,93201,1468806,7100051,3830,1057200,34051,412736,171992,-18892,-4279,-72506,-1878,-5166067,3625696,-38053,82359371900,1657416100,4863053600,1158248600,1133899400,918955400,290739207700,5445491900,379546785000,198676502100,2393172600,142849518500,3607542400,28455615100,11007641100,47898500,671045300,286382498800,5338131900,83976939400,406335635300,219638000,60490146600,1950126300,23592561500,9849392500,-1086000900,-247910100,-4356708900,-107360000,-295569845600,207659133200,-2173534600
